title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Fairy dancing",1,18,16,36,791.4372,1
"Abraham Lincoln sixteenth president",1,18,16,37,973.7092,7
"French 2 Wake up smiling",1,18,16,38,448.3421,3
Cat,1,18,16,38,599.75,14
Mammal,1,18,16,38,599,5
Shark,1,18,16,38,597.34,5
"Sid the science kid Sids backyard campout",1,18,16,41,796.54,14
"French 3 Playtime",1,18,16,42,448.3421,3
Flight,1,18,16,44,629.1301,0
"Sid the science kid Going going green",1,18,16,49,791.4575,0
"Animal atlas Superhero animals",1,18,16,54,590,7
"Animal atlas Animal passport",1,18,16,54,590.96,7
"First fun with French",1,18,17,3,448.3421,16
"March on the day my brother Martin changed the world and more stories about African American history",1,18,17,3,973.0496,11
"Martins big words the life of Dr Martin Luther King Jr and more stories from the African American tradition",1,18,17,4,323.092,11
"Lets dance and tumble",1,18,17,6,791.64,7
"Critter quest bug out on a backyard safari",1,18,17,35,595.7,9
Shark,1,18,17,50,597.34,14
"Eyewitness Planets",1,18,17,51,523.4,14
"Activity TV Halloween Vol 4",1,19,9,55,745.59416,11
"Creepy creatures",1,19,10,19,590,16
Bird,1,19,10,39,598,15
Fish,1,19,10,40,597,15
"Our feathered friends adventures on a chicken farm",1,19,11,27,636.5,3
"Lots lots of trains Vol 3 Roaring down the rails",1,19,11,27,625.2,3
"Garbage monsters",1,19,11,31,628.445,3
"Money making change",1,19,11,34,332.4,16
"Sid the science kid Gizmos and gadgets",1,19,11,59,621.8,5
"Schoolhouse rock Science",1,19,12,27,500,14
