title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"All about trucks",1,7,18,7,629.224,7
"shepherdess and the chimney sweep",1,2,13,51,398.20948,12
"three sisters who fell into the mountain a story from Norway",1,2,13,51,398.20948,12
"little primaballerina ballet training for children",1,7,16,26,792.8,7
"Kidz bop Dance moves",1,2,13,11,793.3,12
"Schoolhouse rock",1,5,17,46,372,9
"Sid the science kid Sid in motion",1,8,13,28,500,6
"Im a potty pirate potty training for boys",1,10,12,33,649.62,5
"Sid the science kid Weather kid Sid",1,3,11,44,551.5,12
"Blast off a kids introduction to the space program",1,4,11,37,629.40973,11
"Wild about safety Safety smart about fire",1,8,12,4,363.377,7
"I love airplanes",1,8,12,4,629.133,7
"Lots lots of fire songs safety tips",1,8,12,4,363.377,7
"Peep and the big wide world Chirp flies",1,14,11,1,372.35,1
"John Deere action 3",1,2,11,24,629.2252,13
"Mom Dad me aprendemos EspaÂ¤ol",1,8,12,51,468.3421,7
"Humanoid robots",1,2,12,56,629.892,13
"Lots lots of trains Vol 1 Smokin steam diesel",1,2,14,2,625.2,13
"I love toy trains Parts 4 5 6",1,2,11,24,625.19,13
"Baby boost Nursery rhymes",1,4,16,47,782.42083,10
"Big fins",1,4,16,48,591.77,10
"Land sea air adventures",1,13,14,50,623.8245,1
"Rock n learn Earth science",1,6,15,51,550,8
"Lets have a playdate with Brahms",1,2,11,59,784.42083,13
"Swan lake",1,2,11,59,792.842,13
"Elmos potty time",1,3,11,36,649.62083,12
"Lots lots of jets and planes Vol 3 Jumbo jets in action",1,8,15,52,629.13334,6
"Animal atlas Family time",1,3,15,57,590,11
Reptile,1,3,15,57,597.957,11
Michelangelo,1,4,15,14,759.5,11
"world of learning Volume 2",1,12,11,17,629.13334,3
"Fun on the farm 2",1,12,11,17,630,3
"John Deere action 2",1,12,11,17,629.2252,3
"Lots lots of big trains Vol 1 Giant railroad action",1,6,15,11,625.2,9
"Buster loves music",1,3,11,51,780,12
"Rock n learn Multiplication rap",1,9,13,7,513.213,6
"Hola amigos Volume 1",1,13,16,49,468.3421,2
"Meet the colors",1,2,14,45,535.6,13
"Addition subtraction rock",1,9,13,8,513.21,6
"Hot potatoes the best of the Wiggles",1,14,17,56,782.42083,1
"iKnow animals letters sounds Vol 2",1,2,19,11,372.465,12
"Rock n learn Alphabet circus",1,2,19,11,372.465,12
"Babies toddlers",1,6,16,23,419,9
"Baby sign language basics",1,6,16,24,419,9
"ventures with Wink Blink A day in the life of a firefighter",1,8,11,3,363.37092,7
"Families of Thailand",1,11,17,9,959.3,4
"Wiggles Ukulele baby",1,12,12,18,791.42083,3
"Yay Planes",1,2,11,25,629.1333,13
"Baby signing time Volume 2",1,2,11,26,419,13
"Wiggles Here comes the big red car",1,2,11,25,782.42083,13
"Arctic tale",1,14,11,22,599.786,1
"Kids Ten Commandments the complete collection",1,13,13,11,241.52,2
"Lots lots of trucks Vol 2 Mighty tough trucks",1,3,12,27,629.224,13
"Mighty machines Machines on the job",1,3,12,27,621.8,13
"Road construction ahead 2",1,2,16,45,625.725,13
"way things work Sensors",1,12,14,55,681.2,3
"way things work Ballooning",1,10,14,53,629.13322,5
"way things work Sinking",1,12,14,55,623.8205,3
"Time for manners Vol 2 Table time",1,2,14,54,395.54,14
India,1,2,14,54,305.8914,14
"Families of Korea",1,9,15,17,951.9043,6
"Families of Thailand",1,12,11,46,959.3,4
"My fantastic field trip to the planets",1,5,14,35,523.4,11
"Families of Ghana",1,12,11,46,966.7,4
"Families of Afghanistan",1,9,15,17,958.1,6
"Eyewitness Ocean",1,10,15,39,551.461,5
"world of learning Volume 2",1,4,15,0,629.13334,12
"Sid the science kid Sids sense ational adventures",1,11,17,15,500,4
"Fun with dance",1,2,15,18,796.13,14
"Yoga divas",1,2,15,18,613.7046,14
"Fizzys lunch lab Fresh foods 101",1,11,17,15,613.2,4
"Arabic for babies toddlers and preschoolers Disc 1 Eating and drinking",1,2,15,18,492.7071,14
"Alphabet phonics fun",1,2,15,18,411,14
"Fun in motion dance laugh learn about trucks cars trains planes boats",1,2,15,18,629.22,14
Subtraction,1,9,16,26,513.212,6
"Spanish Disc 5 Happy sad and silly",1,2,15,41,468.3421,14
"German for babies toddlers and preschoolers Disc 3 Playtime",1,2,15,41,438.3421,14
"best of the best of the Electric Company",1,11,12,14,372.414,5
"Sid the science kid Going going green",1,15,19,33,791.4575,0
"Arctic tale",1,2,12,12,599.786,14
"Baby signing time Volume 3 A new day",1,5,17,47,419,10
"Baby boost Nursery rhymes",1,2,17,3,782.42083,14
"Activity TV Cooking snacks",1,15,19,56,641.5123,0
"Signing time Volume 2 Playtime signs",1,5,17,46,419.7,10
"Signing time Volume 1 My first signs",1,5,17,46,419.7,10
"Cognitive beginnings",1,2,17,3,155.413,14
"Baby signing time Volume 4 Lets be friends",1,9,12,7,419,7
"Baby signing time Volume 2",1,5,17,47,419,10
"Learn French with Pânâlope Pezi Beginners level 1 volume 1",1,9,15,32,448.2421,7
"Zoboomafoo Pets",1,2,15,37,590,14
"Zoboomafoo Wild creatures furry fashion",1,2,15,37,590,14
"Dinosaur Georges guide to prehistoric life",1,2,15,37,567.9,14
"Spanish for kids Beginner level 1 volume 2",1,2,12,15,468.3421,14
Dog,1,2,15,37,599.77,14
"Ready for beginning math",1,5,14,12,372.7049,11
"Families of China",1,13,15,12,951,3
"Families of Ghana",1,13,15,12,966.7,3
"Families of Israel",1,13,15,12,956.54,3
"Whats in the Bible 1 In the beginning",1,2,12,11,220.61,14
"Lots lots of playful penguins and their toe tappin feet",1,2,12,12,598.47,14
"Budding ballerinas pre ballet with Mary Carpenter",1,2,12,11,792.8,14
"Wiggles Big big show",1,14,10,25,782.42083,2
"Farm life",1,14,10,25,630,2
"Kidz bop Dance moves",1,14,10,25,793.3,2
"Wiggles Its always Christmas with you",1,14,10,25,782.42083,2
"emperors egg",1,7,14,28,598.47,9
"Signing time Volume 2 Playtime signs",1,7,15,27,419.7,9
"Discovering colors Descubriendo los colores",1,3,12,12,535.6,13
"Spanish Disc 6 I can count",1,10,12,49,468.3421,6
"Spanish Disc 4 In my home",1,10,12,49,468.3421,6
"Spanish 2 Wake up smiling",1,10,12,49,468.3421,6
"Spanish Disc 5 Happy sad and silly",1,10,12,49,468.3421,6
"Life forms animals animal oddities",1,3,19,4,590,13
"Decimals percents",1,3,16,57,513.265,13
"science of Disney imagineering Magnetism",1,3,16,57,531.55,13
"Lots lots of trucks Vol 2 Mighty tough trucks",1,5,16,2,629.224,11
"best of the best of the Electric Company",1,5,16,39,372.414,11
Japan,1,5,15,31,915.2,11
"My fantastic field trip to the planets",1,5,16,39,523.4,11
"Wiggles You make me feel like dancing",1,2,11,51,201,15
"Be the creature The complete first season",1,11,11,14,590,6
"John Deere action Part one",1,10,12,27,629.2252,7
"Whats in the Bible 2 Let my people go",1,7,16,58,222.12,9
"Whats in the bible Vol 7 Exile and return Ezra Nehemiah Esther",1,7,16,56,221.9505,9
"Peep and the big wide world Peep finds",1,14,16,34,372.35,2
Horse,1,10,13,26,636.1,7
"Yoga by the dozen",1,10,13,26,613.7046,7
"Muzzy level II German",1,6,16,54,438.3421,10
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",1,6,16,54,438.3421,10
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",1,6,16,54,438.3421,10
"German for babies toddlers and preschoolers Disc 6 I can count",1,6,16,54,438.3421,10
